Telepules;Kod
"Dunaszentbenedek";61
"Dunatetétlen";88
"Dunavecse";88
"Dusnok";61
"Érsekcsanád";61
"Érsekhalma";61
"Fajsz";61
"Felsőlajos";75
"Felsőszentiván";4
"Foktő";61
"Fülöpháza";89
"Fülöpjakab";36
"Fülöpszállás";89
"Gara";4
"Gátér";36
"Géderlak";61
"Hajós";61
"Harkakötöny";81
"Harta";88
"Helvécia";75
"Hercegszántó";4
"Homokmégy";61
"Imrehegy";81
"Izsák";81
"Jakabszállás";81
"Jánoshalma";5
"Jászszentlászló";36
"Kalocsa";61
"Kaskantyú";81
"Katymár";4
"Kecel";81
"Kecskemét";75
"Kelebia";149
"Kerekegyháza";75
"Kéleshalom";5
"Kiskőrös";81
"Kiskunfélegyháza";36
"Kiskunhalas";37
"Kiskunmajsa";36
"Kisszállás";5
"Kömpöc";36
"Kunadacs";145
"Kunbaja";149
"Kunbaracs";145
"Kunfehértó";37
"Kunpeszér";145
"Kunszállás";36
"Kunszentmiklós";89
"Ladánybene";75
"Lajosmizse";75
"Lakitelek";75
"Madaras";4
"Mátételke";4
"Mélykút";4
"Miske";61
"Móricgát";36
"Nagybaracska";4
"Nemesnádudvar";61
"Nyárlőrinc";75
"Ordas";61
"Orgovány";81
"Öregcsertő";61
"Páhi";81
"Pálmonostora";36
"Petőfiszállás";36
"Pirtó";37
"Rém";5
"Solt";88
"Soltszentimre";81
"Soltvadkert";81
"Sükösd";61
"Szabadszállás";89
"Szakmár";61
"Szalkszentmárton";88
"Szank";36
"Szentkirály";75
"Szeremle";4
"Tabdi";81
"Tass";88
"Tataháza";4
"Tázlár";81
"Tiszaalpár";75
"Tiszakécske";75
"Tiszaug";104
"Tompa";149
"Újsolt";88
"Újtelek";61
"Uszód";61
"Vaskút";5
"Városföld";75
"Zsana";37
"Almáskamarás";3
"Battonya";9
"Békés";10
"Békéscsaba";11
"Békéssámson";11
"Békésszentandrás";150
"Bélmegyer";10
"Biharugra";119
"Bucsa";10
"Csabacsűd";150
"Csabaszabadi";11
"Csanádapáca";9
"Csárdaszállás";10
"Csorvás";11
"Dévaványa";71
"Doboz";11
"Dombegyház";9
"Dombiratos";9
"Ecsegfalva";71
"Elek";3
"Füzesgyarmat";10
"Gádoros";11
"Gerendás";11
"Geszt";117
"Gyomaendrőd";150
"Gyula";11
"Hunya";150
"Kamut";10
"Kardos";150
"Kardoskút";53
"Kaszaper";9
"Kertészsziget";10
"Kevermes";9
"Kétegyháza";11
"Kétsoprony";11
"Kisdombegyház";9
"Kondoros";150
"Körösladány";10
"Körösnagyharsány";119
"Köröstarcsa";10
"Körösújfalu";10
"Kötegyán";117
"Kunágota";9
"Lőkösháza";3
"Magyarbánhegyes";9
"Magyardombegyház";9
"Medgyesbodzás";3
"Medgyesegyháza";3
"Mezőberény";10
"Mezőgyán";117
"Mezőhegyes";9
"Mezőkovácsháza";9
"Méhkerék";117
"Murony";10
"Nagybánhegyes";9
"Nagykamarás";3
"Nagyszénás";11
"Okány";117
"Orosháza";11
"Örménykút";150
"Pusztaföldvár";11
"Pusztaottlaka";3
"Sarkad";117
"Sarkadkeresztúr";117
"Szabadkígyós";11
"Szarvas";150
"Szeghalom";10
"Tarhos";10
"Telekgerendás";11
"Tótkomlós";11
"Újkígyós";11
"Újszalonta";117
"Végegyháza";9
"Vésztő";10
"Zsadány";117
"Abaújalpár";167
"Abaújkér";167
"Abaújlak";167
"Abaújszántó";167
"Abaújszolnok";167
"Abaújvár";73
"Abod";29
"Aggtelek";132
"Alacska";133
"Alsóberecki";79
"Alsódobsza";186
"Alsógagy";139
"Alsóregmec";74
"Alsószuha";132
"Alsótelekes";29
"Alsóvadász";167
"Alsózsolca";106
"Arka";167
"Arló";134
"Arnót";29
"Aszaló";167
"Ároktő";106
"Baktakék";167
"Balajt";29
"Baskó";168
"Bánhorváti";134
"Bánréve";131
"Becskeháza";188
"Bekecs";186
"Berente";133
"Beret";167
"Berzék";186
"Bodroghalom";79
"Bodrogkeresztúr";185
"Bodrogkisfalud";185
"Bodrogolaszi";184
"Bódvalenke";188
"Bódvarákó";188
"Bódvaszilas";187
"Bogács";102
"Boldogkőújfalu";167
"Boldogkőváralja";167
"Boldva";29
"Borsodbóta";134
"Borsodgeszt";102
"Borsodivánka";101
"Borsodnádasd";134
"Borsodszentgyörgy";134
"Borsodszirák";29
"Bózsva";74
"Bőcs";106
"Bükkaranyos";102
"Bükkábrány";100
"Bükkmogyorósd";134
"Bükkszentkereszt";106
"Bükkzsérc";102
"Büttös";139
"Cigánd";79
"Csenyéte";139
"Cserépfalu";102
"Cserépváralja";102
"Csernely";134
"Csincse";100
"Csobaj";122
"Csobád";167
"Csokvaomány";134
"Damak";29
"Dámóc";79
"Debréte";29
"Detek";167
"Dédestapolcsány";134
"Domaháza";134
"Dövény";29
"Dubicsány";29
"Edelény";29
"Egerlövő";101
"Emőd";100
"Encs";167
"Erdőbénye";184
"Erdőhorváti";168
"Égerszög";189
"Fancsal";167
"Farkaslyuk";134
"Fáj";139
"Felsőberecki";79
"Felsődobsza";167
"Felsőgagy";139
"Felsőkelecsény";29
"Felsőnyárád";29
"Felsőregmec";74
"Felsőtelekes";29
"Felsővadász";167
"Felsőzsolca";106
"Filkeháza";74
"Fony";167
"Forró";167
"Fulókércs";139
"Füzér";74
"Füzérkajata";74
"Füzérkomlós";74
"Füzérradvány";74
"Gadna";167
"Gagyapáti";139
"Gagybátor";139
"Gagyvendégi";139
"Galvács";29
"Garadna";167
"Gelej";101
"Gesztely";186
"Gibárt";167
"Girincs";186
"Golop";185
"Gömörszőlős";132
"Gönc";167
"Göncruszka";167
"Györgytarló";184
"Halmaj";167
"Hangács";29
"Hangony";130
"Harsány";102
"Háromhuta";168
"Hegymeg";29
"Hejce";167
"Hejőbába";106
"Hejőkeresztúr";106
"Hejőkürt";106
"Hejőpapi";106
"Hejőszalonta";106
"Hercegkút";184
"Hernádbűd";167
"Hernádcéce";167
"Hernádkak";186
"Hernádkércs";167
"Hernádnémeti";186
"Hernádpetri";139
"Hernádszentandrás";167
"Hernádszurdok";139
"Hernádvécse";139
"Hét";131
"Hidasnémeti";72
"Hidvégardó";187
"Hollóháza";74
"Homrogd";167
"Igrici";106
"Imola";132
"Ináncs";167
"Irota";29
"Izsófalva";29
"Jákfalva";29
"Járdánháza";134
"Jósvafő";189
"Karcsa";79
"Karos";79
"Kazincbarcika";133
"Kács";102
"Kánó";132
"Kány";139
"Kázsmárk";167
"Kelemér";132
"Kenézlő";121
"Keresztéte";139
"Kesznyéten";186
"Kéked";73
"Királd";134
"Kiscsécs";186
"Kisgyőr";102
"Kishuta";74
"Kiskinizs";167
"Kisrozvágy";79
"Kissikátor";134
"Kistokaj";106
"Komjáti";187
"Komlóska";168
"Kondó";133
"Korlát";167
"Kovácsvágás";74
"Köröm";186
"Krasznokvajda";139
"Kupa";167
"Kurityán";29
"Lak";29
"Lácacséke";79
"Ládbesenyő";29
"Legyesbénye";186
"Léh";167
"Lénárddaróc";134
"Litka";139
"Makkoshotyka";138
"Martonyi";29
"Mád";185
"Mályi";106
"Mályinka";134
"Megyaszó";186
"Meszes";29
"Mezőcsát";106
"Mezőkeresztes";100
"Mezőkövesd";100
"Mezőnagymihály";101
"Mezőnyárád";100
"Mezőzombor";185
"Méra";167
"Mikóháza";74
"Miskolc";106
"Mogyoróska";168
"Monaj";167
"Monok";186
"Múcsony";29
"Muhi";106
"Nagybarca";134
"Nagycsécs";106
"Nagyhuta";74
"Nagykinizs";167
"Nagyrozvágy";79
"Nekézseny";134
"Nemesbikk";106
"Négyes";101
"Novajidrány";167
"Nyékládháza";106
"Nyésta";167
"Nyíri";74
"Nyomár";29
"Olaszliszka";184
"Onga";167
"Ónod";106
"Ormosbánya";29
"Oszlár";106
"Ózd";134
"Pamlény";139
"Parasznya";133
"Pácin";79
"Pálháza";74
"Pányok";73
"Pere";167
"Perecse";139
"Perkupa";189
"Prügy";122
"Pusztafalu";74
"Pusztaradvány";139
"Putnok";131
"Radostyán";133
"Ragály";132
"Rakaca";29
"Rakacaszend";29
"Rásonysápberencs";167
"Rátka";185
"Regéc";168
"Répáshuta";106
"Révleányvár";79
"Ricse";79
"Rudabánya";29
"Rudolftelep";29
"Sajóbábony";106
"Sajóecseg";106
"Sajógalgóc";29
"Sajóhídvég";186
"Sajóivánka";133
"Sajókaza";29
"Sajókápolna";133
"Sajókeresztúr";106
"Sajólád";106
"Sajólászlófalva";133
"Sajómercse";134
"Sajónémeti";133
"Sajóörös";106
"Sajópálfala";29
"Sajópetri";106
"Sajópüspöki";131
"Sajósenye";29
"Sajószentpéter";133
"Sajószöged";106
"Sajóvámos";29
"Sajóvelezd";133
"Sály";102
"Sárazsadány";184
"Sárospatak";184
"Sáta";134
"Sátoraljaújhely";138
"Selyeb";167
"Semjén";79
"Serényfalva";131
"Sima";168
"Sóstófalva";186
"Szakácsi";29
"Szakáld";106
"Szalaszend";139
"Szalonna";29
"Szászfa";139
"Szegi";185
"Szegilong";185
"Szemere";139
"Szendrő";29
"Szendrőlád";29
"Szentistván";101
"Szentistvánbaksa";167
"Szerencs";185
"Szikszó";167
"Szin";189
"Szinpetri";189
"Szirmabesenyő";106
"Szomolya";102
"Szögliget";187
"Szőlősardó";189
"Szuhafő";132
"Szuhakálló";29
"Szuhogy";29
"Taktabáj";122
"Taktaharkány";186
"Taktakenéz";122
"Taktaszada";186
"Tarcal";185
"Tard";102
"Tardona";134
"Tállya";185
"Telkibánya";168
"Teresztenye";189
"Tibolddaróc";102
"Tiszabábolna";103
"Tiszacsermely";79
"Tiszadorogma";103
"Tiszakarád";79
