Kod;MuvelesiAg;1;2;3;4;5;6;7;8
12;"nádas";8;0;0;0;0;0;0;0
12;"fásított terület";8;5.9;4.5;3.1;2.4;1.7;1;0.5
13;"szántó";32.1;28.7;24.3;17.4;10.4;7;2.6;1.2
13;"rét";28.7;22.6;17.4;12.2;7;1.7;1;0
13;"szőlő";36.5;24.3;11.5;0;0;0;0;0
13;"kert";48.7;41.7;36.5;24.3;10.4;0;0;0
13;"gyümölcsös";48.7;41.7;36.5;0;0;0;0;0
13;"legelő";18.2;10.1;3.8;2.1;1;0;0;0
13;"nádas";27.8;15.6;4.2;0;0;0;0;0
13;"fásított terület";12.9;10.4;8.3;5.2;2.8;0;0;0
14;"szántó";32.1;28.7;24.3;17.4;10.4;7;2.6;0
14;"rét";28.7;22.6;20.9;12.2;7;1.7;1;0
14;"szőlő";36.5;24.3;11.5;0;0;0;0;0
14;"kert";36.5;26.9;20.9;0;0;0;0;0
14;"gyümölcsös";36.5;26.9;20.9;0;0;0;0;0
14;"legelő";17.4;8.7;3.8;2.1;1;0;0;0
14;"nádas";33.9;17.4;4.2;1.6;0;0;0;0
14;"fásított terület";14.8;11.8;8.3;0;0;0;0;0
15;"0";0;0;0;0;0;0;0;0
15;"szántó";53.9;41.7;31.3;26.1;20.9;13.9;9.7;3.5
15;"rét";57.3;50.4;43.4;38.2;31.3;19.1;13.9;10.4
15;"szőlő";139;118.2;97.3;76.5;57.3;41.7;24.3;13.9
15;"kert";187.7;139;86.9;53.9;40;33.9;18.2;13.9
15;"gyümölcsös";187.7;139;86.9;53.9;40;33.9;18.2;13.9
15;"legelő";32.1;17.4;12.2;5.6;2.4;1.4;0;0
15;"nádas";55.6;41.7;31.3;17.4;0;0;0;0
15;"fásított terület";9;8;6.3;5.2;3;1.9;0.2;0
16;"szántó";40;34.8;27.8;22.6;17.4;10.4;4.2;2.1
16;"rét";32.1;27.8;20;8.7;0;0;0;0
16;"szőlő";73;52.1;34.8;19.1;0;0;0;0
16;"kert";55.6;45.2;29.5;10.4;0;0;0;0
16;"gyümölcsös";55.6;45.2;29.5;0;0;0;0;0
16;"legelő";18.2;12.2;7.6;2.8;1;0;0;0
16;"nádas";45.2;33;20;14.8;4.2;0;0;0
16;"fásított terület";11.8;7.6;3.5;1.9;0.6;0;0;0
17;"szántó";41.7;33.9;27.8;20.9;15.6;10.4;4.2;2.1
17;"rét";41.7;28.7;22.6;15.6;9.7;0;0;0
17;"szőlő";48.7;38.2;26.1;16.5;0;0;0;0
17;"kert";53.9;29.5;10.4;0;0;0;0;0
17;"gyümölcsös";53.9;29.5;0;0;0;0;0;0
17;"legelő";14.8;10.4;7;2.8;0.7;0;0;0
17;"nádas";45.2;36.5;31.3;20;4.2;0;0;0
17;"fásított terület";11.8;7.6;3.5;1.9;0.6;0;0;0
18;"szántó";55.6;45.2;38.2;26.9;19.1;12.2;4.9;0
18;"rét";69.5;55.6;32.1;29.5;16.5;0;0;0
